Simbolo	|Frecuencia	|Orden de aparición
space	|3396.0	|1;5;11;15;24;28;37;40;43;46;61;67;71;83;85;92;101;110;120;127;130;139;148;150;161;165;173;178;187;191;199;206;209;215;227;229;235;247;250;253;261;270;278;282;290;297;307;309;313;322;331;342;352;356;361;364;372;379;382;384;387;393;405;410;418;421;427;437;444;452;459;461;471;479;482;490;497;510;518;522;527;534;543;545;553;557;565;574;576;582;585;591;596;605;610;621;629;632;642;653;656;668;671;679;681;690;693;697;704;708;712;720;735;740;747;754;757;760;768;775;787;797;804;807;811;819;833;843;849;852;864;867;876;882;885;894;898;905;908;912;920;928;932;935;945;955;960;964;971;980;982;987;990;997;1005;1009;1012;1016;1025;1030;1036;1040;1044;1048;1056;1059;1064;1068;1075;1078;1082;1088;1095;1098;1101;1109;1114;1118;1122;1126;1134;1137;1142;1146;1150;1153;1160;1168;1170;1176;1180;1189;1193;1201;1206;1210;1217;1220;1224;1234;1240;1245;1248;1258;1263;1266;1271;1278;1288;1297;1302;1309;1313;1318;1323;1334;1337;1340;1346;1350;1353;1360;1369;1372;1382;1385;1390;1393;1398;1407;1411;1416;1424;1432;1435;1439;1445;1447;1450;1455;1458;1462;1467;1469;1474;1477;1485;1488;1491;1501;1512;1518;1521;1528;1530;1536;1539;1542;1547;1551;1560;1563;1566;1573;1579;1583;1588;1592;1597;1603;1606;1613;1617;1625;1629;1637;1639;1643;1652;1660;1663;1667;1673;1676;1681;1689;1691;1694;1700;1703;1708;1719;1728;1734;1737;1743;1746;1749;1754;1762;1767;1770;1776;1783;1787;1792;1794;1797;1800;1807;1814;1820;1823;1829;1832;1835;1840;1849;1854;1857;1863;1870;1874;1883;1885;1893;1896;1903;1907;1915;1921;1924;1930;1933;1936;1941;1949;1951;1956;1960;1963;1969;1972;1979;1982;1987;1990;2000;2008;2018;2021;2027;2034;2038;2048;2052;2055;2058;2064;2069;2073;2079;2082;2085;2094;2102;2105;2111;2114;2123;2126;2130;2136;2144;2147;2151;2155;2157;2160;2166;2169;2172;2177;2183;2188;2196;2200;2208;2212;2220;2222;2226;2235;2244;2247;2253;2256;2259;2265;2273;2278;2281;2287;2291;2295;2300;2302;2305;2308;2315;2322;2325;2331;2334;2337;2343;2352;2357;2360;2366;2370;2374;2380;2382;2390;2393;2400;2404;2413;2417;2426;2429;2435;2443;2445;2448;2454;2457;2463;2468;2471;2477;2481;2488;2490;2493;2500;2505;2508;2522;2525;2531;2536;2547;2555;2558;2562;2568;2572;2583;2586;2592;2596;2604;2610;2613;2620;2624;2629;2636;2640;2648;2652;2660;2662;2666;2675;2684;2687;2693;2695;2698;2703;2711;2716;2723;2733;2738;2740;2743;2746;2753;2762;2765;2771;2773;2776;2781;2790;2795;2802;2812;2819;2821;2829;2832;2839;2849;2852;2859;2862;2865;2870;2879;2882;2887;2890;2897;2900;2910;2915;2918;2928;2936;2939;2946;2950;2957;2967;2975;2978;2982;2985;2991;3005;3016;3021;3029;3033;3038;3043;3054;3058;3064;3068;3071;3079;3084;3088;3093;3108;3112;3115;3122;3125;3136;3153;3156;3164;3166;3174;3179;3183;3192;3195;3201;3204;3207;3213;3215;3221;3224;3230;3236;3241;3245;3249;3253;3258;3262;3265;3281;3284;3287;3295;3298;3301;3307;3309;3315;3318;3324;3330;3335;3339;3343;3347;3351;3357;3375;3380;3386;3390;3393;3401;3414;3417;3423;3428;3431;3437;3439;3446;3449;3459;3464;3469;3478;3481;3491;3494;3501;3504;3507;3519;3524;3528;3543;3546;3549;3558;3561;3564;3571;3576;3580;3598;3601;3604;3613;3616;3619;3624;3634;3640;3655;3660;3670;3673;3676;3682;3685;3688;3693;3695;3702;3723;3730;3733;3739;3748;3750;3758;3761;3766;3770;3774;3783;3789;3792;3795;3800;3802;3809;3819;3825;3831;3838;3841;3848;3853;3859;3868;3870;3873;3878;3881;3885;3892;3896;3902;3906;3915;3919;3928;3931;3934;3937;3952;3958;3962;3974;3976;3983;3992;4001;4011;4016;4019;4028;4037;4039;4050;4054;4062;4067;4076;4080;4088;4095;4098;4104;4116;4118;4124;4136;4139;4147;4156;4164;4168;4176;4183;4193;4195;4199;4208;4217;4228;4238;4242;4247;4250;4258;4265;4267;4270;4276;4288;4293;4301;4304;4310;4320;4327;4335;4342;4344;4354;4362;4365;4373;4380;4391;4399;4403;4408;4415;4424;4426;4434;4438;4446;4455;4457;4463;4466;4472;4477;4486;4491;4502;4510;4520;4531;4534;4546;4549;4557;4559;4568;4571;4575;4582;4586;4590;4598;4613;4618;4625;4632;4635;4643;4650;4662;4672;4679;4682;4686;4694;4708;4718;4724;4727;4739;4742;4751;4757;4766;4770;4777;4780;4784;4792;4800;4804;4807;4817;4827;4832;4836;4843;4852;4854;4859;4862;4869;4877;4881;4885;4894;4899;4905;4909;4913;4917;4925;4928;4933;4937;4944;4947;4951;4957;4964;4967;4970;4978;4983;4987;4991;4995;5003;5008;5012;5016;5019;5026;5034;5036;5042;5046;5058;5066;5071;5075;5082;5085;5089;5099;5105;5110;5113;5123;5128;5133;5140;5150;5159;5164;5171;5175;5180;5185;5196;5199;5202;5208;5212;5215;5222;5231;5234;5244;5247;5252;5255;5260;5269;5273;5278;5286;5294;5297;5301;5307;5309;5312;5317;5320;5324;5329;5331;5336;5339;5347;5350;5353;5363;5374;5380;5383;5390;5392;5398;5401;5404;5409;5413;5424;5427;5434;5440;5444;5449;5453;5458;5464;5467;5474;5478;5486;5490;5498;5500;5504;5513;5521;5524;5528;5534;5537;5542;5550;5552;5555;5561;5564;5569;5580;5589;5595;5598;5604;5607;5610;5615;5623;5628;5631;5637;5644;5648;5653;5655;5658;5661;5668;5675;5681;5684;5690;5693;5696;5701;5710;5715;5718;5724;5731;5735;5744;5746;5754;5757;5764;5768;5776;5782;5785;5791;5794;5797;5802;5810;5812;5817;5821;5824;5830;5833;5840;5843;5848;5851;5861;5869;5879;5882;5888;5895;5899;5909;5913;5916;5919;5925;5930;5934;5940;5943;5946;5962;5965;5971;5974;5983;5986;5990;5996;6004;6007;6011;6015;6017;6020;6026;6029;6032;6037;6043;6048;6056;6060;6068;6072;6080;6082;6086;6095;6104;6107;6113;6116;6119;6125;6133;6138;6141;6147;6151;6155;6160;6162;6165;6168;6175;6182;6185;6191;6194;6197;6203;6212;6217;6220;6226;6230;6234;6240;6242;6250;6253;6260;6264;6273;6277;6286;6289;6295;6303;6305;6308;6314;6317;6323;6328;6331;6337;6341;6348;6350;6353;6360;6365;6368;6382;6385;6391;6396;6407;6415;6418;6422;6428;6432;6443;6446;6452;6456;6464;6470;6473;6480;6484;6489;6496;6500;6508;6512;6520;6522;6526;6535;6544;6547;6553;6555;6558;6563;6571;6576;6583;6593;6598;6600;6603;6606;6613;6622;6625;6631;6633;6636;6641;6650;6655;6662;6672;6679;6681;6689;6692;6699;6709;6712;6719;6722;6725;6730;6739;6742;6747;6750;6757;6760;6770;6775;6778;6788;6796;6799;6806;6810;6817;6827;6835;6838;6842;6845;6851;6865;6876;6881;6889;6893;6898;6903;6914;6918;6924;6928;6931;6939;6944;6948;6953;6968;6972;6975;6982;6985;6996;7013;7016;7024;7026;7034;7039;7043;7052;7055;7061;7064;7067;7073;7075;7081;7084;7090;7096;7101;7105;7109;7113;7118;7122;7125;7141;7144;7147;7155;7158;7161;7167;7169;7175;7178;7184;7190;7195;7199;7203;7207;7211;7217;7235;7240;7246;7250;7253;7261;7274;7277;7283;7288;7291;7297;7299;7306;7309;7319;7324;7329;7338;7341;7351;7354;7361;7364;7367;7379;7384;7388;7403;7406;7409;7418;7421;7424;7431;7436;7440;7458;7461;7464;7473;7476;7479;7484;7494;7500;7515;7520;7530;7533;7536;7542;7545;7548;7553;7555;7562;7583;7590;7593;7599;7608;7610;7618;7621;7626;7630;7634;7643;7649;7652;7655;7660;7662;7669;7679;7685;7691;7698;7701;7708;7713;7719;7728;7730;7733;7738;7741;7745;7752;7756;7762;7766;7775;7779;7788;7791;7794;7797;7812;7818;7822;7834;7836;7843;7852;7861;7871;7876;7879;7888;7897;7899;7910;7914;7922;7927;7936;7940;7948;7955;7958;7964;7976;7978;7984;7996;7999;8007;8016;8024;8028;8036;8043;8053;8055;8059;8068;8077;8088;8098;8102;8107;8110;8118;8125;8127;8130;8136;8148;8153;8161;8164;8170;8180;8187;8195;8202;8204;8214;8222;8225;8233;8240;8251;8259;8263;8268;8275;8284;8286;8294;8298;8306;8315;8317;8323;8326;8332;8337;8346;8351;8362;8370;8380;8391;8394;8406;8409;8417;8419;8428;8431;8435;8442;8446;8450;8458;8473;8478;8485;8492;8495;8503;8510;8522;8532;8539;8542;8546;8554;8568;8578;8584;8587;8599;8602;8611;8617;8626;8630;8637;8640;8644;8652;8660;8664;8667;8677;8687;8692;8696;8703;8712;8714;8719;8722;8729;8737;8741;8745;8754;8759;8765;8769;8773;8777;8785;8788;8793;8797;8804;8807;8811;8817;8824;8827;8830;8838;8843;8847;8851;8855;8863;8868;8872;8876;8879;8886;8894;8896;8902;8906;8918;8926;8931;8935;8942;8945;8949;8959;8965;8970;8973;8983;8988;8993;9000;9010;9019;9024;9031;9035;9040;9045;9056;9059;9062;9068;9072;9075;9082;9091;9094;9104;9107;9112;9115;9120;9129;9133;9138;9146;9154;9157;9161;9167;9169;9172;9177;9180;9184;9189;9191;9196;9199;9207;9210;9213;9223;9234;9240;9243;9250;9252;9258;9261;9264;9269;9273;9284;9287;9294;9300;9304;9309;9313;9318;9324;9327;9334;9338;9346;9350;9358;9360;9364;9373;9381;9384;9388;9394;9397;9402;9410;9412;9415;9421;9424;9429;9440;9449;9455;9458;9464;9467;9470;9475;9483;9488;9491;9497;9504;9508;9513;9515;9518;9521;9528;9535;9541;9544;9550;9553;9556;9561;9570;9575;9578;9584;9591;9595;9604;9606;9614;9617;9624;9628;9636;9642;9645;9651;9654;9657;9662;9670;9672;9677;9681;9684;9690;9693;9700;9703;9708;9711;9721;9729;9739;9742;9748;9755;9759;9769;9773;9776;9779;9785;9790;9794;9800;9803;9806;9822;9825;9831;9834;9843;9846;9850;9856;9864;9867;9871;9875;9877;9880;9886;9889;9892;9897;9903;9908;9916;9920;9928;9932;9940;9942;9946;9955;9964;9967;9973;9976;9979;9985;9993;9998;10001;10007;10011;10015;10020;10022;10025;10028;10035;10042;10045;10051;10054;10057;10063;10072;10077;10080;10086;10090;10094;10100;10102;10110;10113;10120;10124;10133;10137;10146;10149;10155;10163;10165;10168;10174;10177;10183;10188;10191;10197;10201;10208;10210;10213;10220;10225;10228;10242;10245;10251;10256;10267;10275;10278;10282;10288;10292;10303;10306;10312;10316;10324;10330;10333;10340;10344;10349;10356;10360;10368;10372;10380;10382;10386;10395;10404;10407;10413;10415;10418;10423;10431;10436;10443;10453;10458;10460;10463;10466;10473;10482;10485;10491;10493;10496;10501;10510;10515;10522;10532;10539;10541;10549;10552;10559;10569;10572;10579;10582;10585;10590;10599;10602;10607;10610;10617;10620;10630;10635;10638;10648;10656;10659;10666;10670;10677;10687;10695;10698;10702;10705;10711;10725;10736;10741;10749;10753;10758;10763;10774;10778;10784;10788;10791;10799;10804;10808;10813;10828;10832;10835;10842;10845;10856;10873;10876;10884;10886;10894;10899;10903;10912;10915;10921;10924;10927;10933;10935;10941;10944;10950;10956;10961;10965;10969;10973;10978;10982;10985;11001;11004;11007;11015;11018;11021;11027;11029;11035;11038;11044;11050;11055;11059;11063;11067;11071;11077;11095;11100;11106;11110;11113;11121;11134;11137;11143;11148;11151;11157;11159;11166;11169;11179;11184;11189;11198;11201;11211;11214;11221;11224;11227;11239;11244;11248;11263;11266;11269;11278;11281;11284;11291;11296;11300;11318;11321;11324;11333;11336;11339;11344;11354;11360;11375;11380;11390;11393;11396;11402;11405;11408;11413;11415;11422;11443;11450;11453;11459;11468;11470;11478;11481;11486;11490;11494;11503;11509;11512;11515;11520;11522;11529;11539;11545;11551;11558;11561;11568;11573;11579;11588;11590;11593;11598;11601;11605;11612;11616;11622;11626;11635;11639;11648;11651;11654;11657;11672;11678;11682;11694;11696;11703;11712;11721;11731;11736;11739;11748;11757;11759;11770;11774;11782;11787;11796;11800;11808;11815;11818;11824;11836;11838;11844;11856;11859;11867;11876;11884;11888;11896;11903;11913;11915;11919;11928;11937;11948;11958;11962;11967;11970;11978;11985;11987;11990;11996;12008;12013;12021;12024;12030;12040;12047;12055;12062;12064;12074;12082;12085;12093;12100;12111;12119;12123;12128;12135;12144;12146;12154;12158;12166;12175;12177;12183;12186;12192;12197;12206;12211;12222;12230;12240;12251;12254;12266;12269;12277;12279;12288;12291;12295;12302;12306;12310;12318;12333;12338;12345;12352;12355;12363;12370;12382;12392;12399;12402;12406;12414;12428;12438;12444;12447;12459;12462;12471;12477;12486;12490;12497;12500;12504;12512;12520;12524;12527;12537;12547;12552;12556;12563;12572;12574;12579;12582;12589;12597;12601;12605;12614;12619;12625;12629;12633;12637;12645;12648;12653;12657;12664;12667;12671;12677;12684;12687;12690;12698;12703;12707;12711;12715;12723;12728;12732;12736;12739;12746;12754;12756;12762;12766;12778;12786;12791;12795;12802;12805;12809;12819;12825;12830;12833;12843;12848;12853;12860;12870;12879;12884;12891;12895;12900;12905;12916;12919;12922;12928;12932;12935;12942;12951;12954;12964;12967;12972;12975;12980;12989;12993;12998;13006;13014;13017;13021;13027;13029;13032;13037;13040;13044;13049;13051;13056;13059;13067;13070;13073;13083;13094;13100;13103;13110;13112;13118;13121;13124;13129;13133;13143;13146;13153;13159;13163;13168;13172;13177;13183;13186;13193;13197;13205;13209;13217;13219;13223;13232;13240;13243;13247;13253;13256;13261;13269;13271;13274;13280;13283;13288;13299;13308;13314;13317;13323;13326;13329;13334;13342;13347;13350;13356;13363;13367;13372;13374;13377;13380;13387;13394;13400;13403;13409;13412;13415;13420;13429;13434;13437;13443;13450;13454;13463;13465;13473;13476;13483;13487;13495;13501;13504;13510;13513;13516;13521;13529;13531;13536;13540;13543;13549;13552;13559;13562;13567;13570;13580;13588;13598;13601;13607;13614;13618;13628;13632;13635;13638;13644;13649;13653;13659;13662;13665;13681;13684;13690;13693;13702;13705;13709;13715;13723;13726;13730;13734;13736;13739;13745;13748;13751;13756;13762;13767;13775;13779;13787;13791;13799;13801;13805;13814;13823;13826;13832;13835;13838;13844;13852;13857;13860;13866;13870;13874;13879;13881;13884;13887;13894;13901;13904;13910;13913;13916;13922;13931;13936;13939;13945;13949;13953;13959;13961;13969;13972;13979;13983;13992;13996;14005;14008;14014;14022;14024;14027;14033;14036;14042;14047;14050;14056;14060;14067;14069;14072;14079;14084;14087;14101;14104;14110;14115;14126;14134;14137;14141;14147;14151;14162;14165;14171;14175;14183;14189;14192;14199;14203;14208;14215;14219;14227;14231;14239;14241;14245;14254;14263;14266;14272;14274;14277;14282;14290;14295;14302;14312;14317;14319;14322;14325;14332;14341;14344;14350;14352;14355;14360;14369;14374;14381;14391;14398;14400;14408;14411;14418;14428;14431;14438;14441;14444;14449;14458;14461;14466;14469;14476;14479;14489;14494;14497;14507;14515;14518;14525;14529;14536;14546;14554;14557;14561;14564;14570;14584;14595;14600;14608;14612;14617;14622;14633;14637;14643;14647;14650;14658;14663;14667;14672;14687;14691;14694;14701;14704;14715;14732;14735;14743;14745;14753;14758;14762;14771;14774;14780;14783;14786;14792;14794;14800;14803;14809;14815;14820;14824;14828;14832;14837;14841;14844;14860;14863;14866;14874;14877;14880;14886;14888;14894;14897;14903;14909;14914;14918;14922;14926;14930;14936;14954;14959;14965;14969;14972;14980;14993;14996;15002;15007;15010;15016;15018;15025;15028;15038;15043;15048;15057;15060;15070;15073;15080;15083;15086;15098;15103;15107;15122;15125;15128;15137;15140;15143;15150;15155;15159;15177;15180;15183;15192;15195;15198;15203;15213;15219;15234;15239;15249;15252;15255;15261;15264;15267;15272;15274;15281;15302;15309;15312;15318;15327;15329;15337;15340;15345;15349;15353;15362;15368;15371;15374;15379;15381;15388;15398;15404;15410;15417;15420;15427;15432;15438;15447;15449;15452;15457;15460;15464;15471;15475;15481;15485;15494;15498;15507;15510;15513;15516;15531;15537;15541;15553;15555;15562;15571;15580;15590;15595;15598;15607;15616;15618;15629;15633;15641;15646;15655;15659;15667;15674;15677;15683;15695;15697;15703;15715;15718;15726;15735;15743;15747;15755;15762;15772;15774;15778;15787;15796;15807;15817;15821;15826;15829;15837;15844;15846;15849;15855;15867;15872;15880;15883;15889;15899;15906;15914;15921;15923;15933;15941;15944;15952;15959;15970;15978;15982;15987;15994;16003;16005;16013;16017;16025;16034;16036;16042;16045;16051;16056;16065;16070;16081;16089;16099;16110;16113;16125;16128;16136;16138;16147;16150;16154;16161;16165;16169;16177;16192;16197;16204;16211;16214;16222;16229;16241;16251;16258;16261;16265;16273;16287;16297;16303;16306;16318;16321;16330;16336;16345;16349;16356;16359;16363;16371;16379;16383;16386;16396;16406;16411;16415;16422;16431;16433;16438;16441;16448;16456;16460;16464;16473;16478;16484;16488;16492;16496;16504;16507;16512;16516;16523;16526;16530;16536;16543;16546;16549;16557;16562;16566;16570;16574;16582;16587;16591;16595;16598;16605;16613;16615;16621;16625;16637;16645;16650;16654;16661;16664;16668;16678;16684;16689;16692;16702;16707;16712;16719;16729;16738;16743;16750;16754;16759;16764;16775;16778;16781;16787;16791;16794;16801;16810;16813;16823;16826;16831;16834;16839;16848;16852;16857;16865;16873;16876;16880;16886;16888;16891;16896;16899;16903;16908;16910;16915;16918;16926;16929;16932;16942;16953;16959;16962;16969;16971;16977;16980;16983;16988;16992;17003;17006;17013;17019;17023;17028;17032;17037;17043;17046;17053;17057;17065;17069;17077;17079;17083;17092;17100;17103;17107;17113;17116;17121;17129;17131;17134;17140;17143;17148;17159;17168;17174;17177;17183;17186;17189;17194;17202;17207;17210;17216;17223;17227;17232;17234;17237;17240;17247;17254;17260;17263;17269;17272;17275;17280;17289;17294;17297;17303;17310;17314;17323;17325;17333;17336;17343;17347;17355;17361;17364;17370;17373;17376;17381;17389;17391;17396;17400;17403;17409;17412;17419;17422;17427;17430;17440;17448;17458;17461;17467;17474;17478;17488;17492;17495;17498;17504;17509;17513;17519;17522;17525;17541;17544;17550;17553;17562;17565;17569;17575;17583;17586;17590;17594;17596;17599;17605;17608;17611;17616;17622;17627;17635;17639;17647;17651;17659;17661;17665;17674;17683;17686;17692;17695;17698;17704;17712;17717;17720;17726;17730;17734;17739;17741;17744;17747;17754;17761;17764;17770;17773;17776;17782;17791;17796;17799;17805;17809;17813;17819;17821;17829;17832;17839;17843;17852;17856;17865;17868;17874;17882;17884;17887;17893;17896;17902;17907;17910;17916;17920;17927;17929;17932;17939;17944;17947;17961;17964;17970;17975;17986;17994;17997;18001;18007;18011;18022;18025;18031;18035;18043;18049;18052;18059;18063;18068;18075;18079;18087;18091;18099;18101;18105;18114;18123;18126;18132;18134;18137;18142;18150;18155;18162;18172;18177;18179;18182;18185;18192;18201;18204;18210;18212;18215;18220;18229;18234;18241;18251;18258;18260;18268;18271;18278;18288;18291;18298;18301;18304;18309;18318;18321;18326;18329;18336;18339;18349;18354;18357;18367;18375;18378;18385;18389;18396;18406;18414;18417;18421;18424;18430;18444;18454;18459;18467;18471;18476;18481;18492;18496;18502;18506;18509;18517;18522;18526;18531;18546;18550;18553;18560;18563;18574;18591;18594;18602;18604;18612;18617;18621;18630;18633;18639;18642;18645;18651;18653;18659;18662;18668;18674;18679;18683;18687;18691;18696;18700;18703;18719;18722;18725;18733;18736;18739;18745;18747;18753;18756;18762;18768;18773;18777;18781;18785;18789;18795;18813;18818;18824;18828;18831;18839;18852;18855;18861;18866;18869;18875;18877;18884;18887;18897;18902;18907;18916;18919;18929;18932;18939;18942;18945;18957;18962;18966;18981;18984;18987;18996;18999;19002;19009;19014;19018;19036;19039;19042;19051;19054;19057;19062;19072;19078;19093;19098;19108;19111;19114;19120;19123;19126;19131;19133;19140;19161;19168;19171;19177;19186;19188;19196;19199;19204;19208;19212;19221;19227;19230;19233;19238;19240;19247;19257;19263;19269;19276;19279;19286;19291;19297;19306;19308;19311;19316;19319;19323
¡	|35.0	|406;972;2001;2947;3535;3590;3647;4289;4844;5862;6807;7395;7450;7507;8149;8704;9722;10667;11255;11310;11367;12009;12564;13581;14526;15114;15169;15226;15868;16423;17441;18386;18973;19028;19085
!	|35.0	|436;1029;2017;2966;3569;3632;3681;4319;4898;5878;6826;7429;7492;7541;8179;8758;9738;10686;11289;11352;11401;12039;12618;13597;14545;15148;15211;15260;15898;16477;17457;18405;19007;19070;19119
,	|225.0	|60;100;138;160;269;360;404;517;533;628;1133;1200;1257;1308;1406;1511;1624;1727;1761;1813;1848;1914;1999;2135;2207;2243;2272;2321;2351;2462;2546;2582;2647;2683;2710;2761;2789;2848;2878;2945;3028;3191;3374;3518;3765;3951;3991;4027;4049;4155;4246;4287;4398;4414;4509;5002;5065;5122;5170;5268;5373;5485;5588;5622;5674;5709;5775;5860;5995;6067;6103;6132;6181;6211;6322;6406;6442;6507;6543;6570;6621;6649;6708;6738;6805;6888;7051;7234;7378;7625;7811;7851;7887;7909;8015;8106;8147;8258;8274;8369;8862;8925;8982;9030;9128;9233;9345;9448;9482;9534;9569;9635;9720;9855;9927;9963;9992;10041;10071;10182;10266;10302;10367;10403;10430;10481;10509;10568;10598;10665;10748;10911;11094;11238;11485;11671;11711;11747;11769;11875;11966;12007;12118;12134;12229;12722;12785;12842;12890;12988;13093;13204;13307;13341;13393;13428;13494;13579;13714;13786;13822;13851;13900;13930;14041;14125;14161;14226;14262;14289;14340;14368;14427;14457;14524;14607;14770;14953;15097;15344;15530;15570;15606;15628;15734;15825;15866;15977;15993;16088;16581;16644;16701;16749;16847;16952;17064;17167;17201;17253;17288;17354;17439;17574;17646;17682;17711;17760;17790;17901;17985;18021;18086;18122;18149;18200;18228;18287;18317;18384;18466;18629;18812;18956;19203
.	|170.0	|36;186;351;552;753;875;970;1108;1188;1381;1484;1559;1651;1718;1806;1902;2093;2165;2234;2314;2399;2513;2674;2752;2838;2935;3013;3078;3272;3365;3455;3490;3720;3890;3927;4075;4237;4433;4631;4750;4842;4977;5054;5243;5346;5421;5512;5579;5667;5763;5954;6025;6094;6174;6259;6373;6534;6612;6698;6795;6873;6938;7132;7225;7315;7350;7580;7750;7787;7935;8097;8293;8491;8610;8702;8837;8914;9103;9206;9281;9372;9439;9527;9623;9814;9885;9954;10034;10119;10233;10394;10472;10558;10655;10733;10798;10992;11085;11175;11210;11440;11610;11647;11795;11957;12153;12351;12470;12562;12697;12774;12963;13066;13141;13231;13298;13386;13482;13673;13744;13813;13893;13978;14092;14253;14331;14417;14514;14592;14657;14851;14944;15034;15069;15299;15469;15506;15654;15816;16012;16210;16329;16421;16556;16633;16822;16925;17000;17091;17158;17246;17342;17533;17604;17673;17753;17838;17952;18113;18191;18277;18374;18452;18516;18710;18803;18893;18928;19158;19328
:	|40.0	|1612;2195;2635;3144;3405;3533;3588;3645;5473;6055;6495;7004;7265;7393;7448;7505;9333;9915;10355;10864;11125;11253;11308;11365;13192;13774;14214;14723;14984;15112;15167;15224;17052;17634;18074;18582;18843;18971;19026;19083
A	|294.0	|0;84;131;179;236;353;383;419;519;575;713;853;886;946;973;981;1235;1383;1446;1486;1513;1607;1682;1695;1738;1771;1824;1858;1925;1964;2022;2156;2296;2375;2584;2694;2772;2853;3014;3137;3146;3165;3225;3274;3319;3407;3432;3492;3536;3550;3591;3605;3648;3694;3749;3775;3820;3839;3869;3891;3975;4020;4068;4125;4239;4266;4302;4400;4456;4591;4728;4758;4818;4845;4853;5100;5245;5308;5348;5375;5468;5543;5556;5599;5632;5685;5719;5786;5825;5883;6016;6156;6235;6444;6554;6632;6713;6874;6997;7006;7025;7085;7134;7179;7267;7292;7352;7396;7410;7451;7465;7508;7554;7609;7635;7680;7699;7729;7751;7835;7880;7928;7985;8099;8126;8162;8260;8316;8451;8588;8618;8678;8705;8713;8960;9105;9168;9208;9235;9328;9403;9416;9459;9492;9545;9579;9646;9685;9743;9876;10016;10095;10304;10414;10492;10573;10734;10857;10866;10885;10945;10994;11039;11127;11152;11212;11256;11270;11311;11325;11368;11414;11469;11495;11540;11559;11589;11611;11695;11740;11788;11845;11959;11986;12022;12120;12176;12311;12448;12478;12538;12565;12573;12820;12965;13028;13068;13095;13187;13262;13275;13318;13351;13404;13438;13505;13544;13602;13735;13875;13954;14163;14273;14351;14432;14593;14716;14725;14744;14804;14853;14898;14986;15011;15071;15115;15129;15170;15184;15227;15273;15328;15354;15399;15418;15448;15470;15554;15599;15647;15704;15818;15845;15881;15979;16035;16170;16307;16337;16397;16424;16432;16679;16824;16887;16927;16954;17047;17122;17135;17178;17211;17264;17298;17365;17404;17462;17595;17735;17814;18023;18133;18211;18292;18575;18584;18603;18663;18712;18757;18845;18870;18930;18974;18988;19029;19043;19086;19132;19187;19213;19258;19277;19307
B	|40.0	|1102;1354;2501;2514;2813;2929;3072;3842;4971;5216;6361;6374;6673;6789;6932;7702;8831;9076;10221;10234;10533;10649;10792;11562;12691;12936;14080;14093;14392;14508;14651;15421;16550;16795;17940;17953;18252;18368;18510;19280
C	|270.0	|29;121;151;192;298;343;428;472;483;491;523;558;566;633;643;721;798;812;913;936;991;998;1006;1089;1267;1289;1303;1386;1451;1543;1567;1589;1875;1991;2059;2106;2614;2621;2630;2699;2777;2866;2883;3175;3246;3340;3387;3418;3565;3620;3677;3796;3803;3874;3920;4012;4040;4081;4184;4229;4311;4355;4366;4374;4404;4439;4447;4511;4521;4599;4673;4687;4785;4808;4863;4870;4878;4958;5129;5151;5165;5248;5313;5405;5428;5450;5736;5852;5920;5966;6474;6481;6490;6559;6637;6726;6743;7035;7106;7200;7247;7278;7425;7480;7537;7656;7663;7734;7780;7872;7900;7941;8044;8089;8171;8215;8226;8234;8264;8299;8307;8371;8381;8459;8533;8547;8645;8668;8723;8730;8738;8818;8989;9011;9025;9108;9173;9265;9288;9310;9596;9712;9780;9826;10334;10341;10350;10419;10497;10586;10603;10895;10966;11060;11107;11138;11285;11340;11397;11516;11523;11594;11640;11732;11760;11801;11904;11949;12031;12075;12086;12094;12124;12159;12167;12231;12241;12319;12393;12407;12505;12528;12583;12590;12598;12678;12849;12871;12885;12968;13033;13125;13147;13169;13455;13571;13639;13685;14193;14200;14209;14278;14356;14445;14462;14754;14825;14919;14966;14997;15144;15199;15256;15375;15382;15453;15499;15591;15619;15660;15763;15808;15890;15934;15945;15953;15983;16018;16026;16090;16100;16178;16252;16266;16364;16387;16442;16449;16457;16537;16708;16730;16744;16827;16892;16984;17007;17029;17315;17431;17499;17545;18053;18060;18069;18138;18216;18305;18322;18613;18684;18778;18825;18856;19003;19058;19115;19234;19241;19312
