Simbolo|Frecuencia|Orden de apariciÃ³n
L|73.0|2;12;25;128;188;409;420;533;552;651;706;804;890;904;958;980;1079;1213;1302;1411;1436;1444;1455;1471;1515;1536;1562;1692;1735;1747;1768;1800;1810;1823;1835;1857;1896;1926;1938;1965;2023;2062;2133;2166;2178;2265;2289;2316;2326;2345;2368;2403;2439;2481;2540;2583;2712;2762;2792;2848;2883;2900;3052;3137;3486;3509;3535;3730;3758;3827;3868;3907;3918
M|39.0|86;93;261;386;526;611;695;1119;1131;1154;1187;1197;1216;1355;1393;1582;1628;1784;1843;1873;2221;2302;2354;2381;2669;2800;3229;3248;3325;3342;3359;3380;3457;3475;3592;3604;3649;3706;3805
N|25.0|6;38;68;166;278;290;309;436;443;757;962;1406;1485;1797;1974;1984;1992;2086;2313;2759;2908;2918;2936;3111;3191
O|25.0|1054;1111;1136;1164;1202;1311;1430;1459;1662;2137;2156;2573;3001;3061;3107;3268;3364;3409;3495;3555;3609;3667;3768;3796;3922
P|62.0|102;162;313;451;544;575;679;740;765;924;953;1011;1106;1174;1236;1254;1290;1335;1341;1474;1518;1550;1642;1720;1729;1763;1817;1852;1906;1920;1946;2013;2092;2235;2244;2284;2363;2448;2476;2523;2546;2611;2683;2692;2728;2809;2891;2978;3014;3039;3081;3087;3102;3140;3208;3242;3263;3336;3422;3550;3723;3885
Q|9.0|358;366;702;1059;2055;2426;3008;3133;3801
R|11.0|1419;1498;1651;2143;2506;2562;2988;3066;3468;3785;3896
S|56.0|47;140;174;363;592;622;735;747;1206;1364;1544;1701;2059;2076;2169;2181;2197;2253;2256;2268;2292;2333;2336;2348;2371;2442;2458;2461;2484;2503;2520;2577;2701;2704;2781;2784;2868;2968;2971;3005;3147;3204;3217;3220;3232;3308;3314;3328;3419;3443;3480;3500;3574;3631;3720;3818
T|27.0|72;210;270;816;894;1007;1147;1306;1466;1591;1596;1668;1750;1838;1888;1941;2041;2071;2192;2395;2641;2840;3044;3056;3452;3490;3657
U|27.0|216;383;691;928;985;1031;1039;1075;1183;1388;1402;1578;1612;1624;1638;1674;2089;2205;2217;2231;2537;2625;2653;2665;2679;3276;3372
V|12.0|253;374;784;866;916;1035;1063;1704;1961;3285;3376;3430
Y|29.0|149;228;307;458;542;677;1162;1464;1525;1636;1690;1795;1886;1954;2229;2311;2391;2456;2501;2677;2755;2838;3240;3334;3466;3602;3665;3718;3835
Ú|1.0|1912
