Simbolo|Frecuencia|Orden de aparición
space|3406.0|1;5;11;15;24;28;37;40;43;46;61;67;71;83;85;92;101;110;122;127;130;139;148;150;161;165;173;178;187;191;199;206;209;215;227;229;237;249;252;260;269;277;281;289;296;306;308;312;321;330;341;351;357;362;365;373;380;382;385;391;403;408;416;419;425;435;442;450;457;459;469;479;482;490;497;508;516;520;525;532;541;543;551;555;563;572;574;580;583;589;596;605;610;621;629;639;650;653;665;668;676;678;687;690;694;701;705;709;719;734;739;746;753;756;764;771;783;793;800;803;807;815;829;841;847;850;862;865;874;880;889;893;900;903;907;915;923;927;930;940;950;957;961;968;977;979;984;987;994;1002;1006;1010;1019;1024;1030;1034;1038;1042;1050;1053;1058;1062;1069;1072;1078;1084;1091;1094;1097;1105;1110;1114;1118;1122;1130;1135;1139;1143;1146;1153;1161;1163;1169;1173;1182;1186;1194;1201;1205;1212;1215;1219;1229;1235;1240;1243;1253;1258;1263;1270;1280;1289;1294;1301;1305;1310;1315;1328;1331;1334;1340;1344;1347;1354;1363;1366;1376;1379;1384;1387;1392;1401;1405;1410;1418;1426;1429;1433;1441;1443;1446;1451;1454;1458;1463;1465;1470;1473;1481;1484;1487;1497;1508;1514;1517;1524;1526;1532;1535;1538;1543;1547;1558;1561;1564;1571;1577;1581;1586;1590;1595;1601;1604;1611;1615;1623;1627;1635;1637;1641;1650;1658;1661;1665;1673;1676;1681;1689;1691;1694;1700;1703;1708;1719;1728;1734;1737;1743;1746;1749;1754;1762;1767;1770;1776;1783;1787;1794;1796;1799;1802;1809;1816;1822;1825;1831;1834;1837;1842;1851;1856;1859;1865;1872;1876;1885;1887;1895;1898;1905;1909;1919;1925;1928;1934;1937;1940;1945;1953;1955;1960;1964;1967;1973;1976;1983;1986;1991;1994;2004;2012;2022;2025;2031;2040;2044;2054;2058;2061;2064;2070;2075;2079;2085;2088;2091;2100;2108;2111;2117;2120;2129;2132;2136;2142;2150;2153;2159;2163;2165;2168;2174;2177;2180;2185;2191;2196;2204;2208;2216;2220;2228;2230;2234;2243;2252;2255;2261;2264;2267;2273;2283;2288;2291;2297;2301;2305;2310;2312;2315;2318;2325;2332;2335;2341;2344;2347;2353;2362;2367;2370;2376;2380;2384;2390;2392;2402;2405;2412;2416;2425;2429;2438;2441;2447;2455;2457;2460;2466;2469;2475;2480;2483;2489;2493;2500;2502;2505;2512;2519;2522;2536;2539;2545;2550;2561;2569;2572;2576;2582;2586;2597;2600;2606;2610;2618;2624;2627;2634;2640;2645;2652;2656;2664;2668;2676;2678;2682;2691;2700;2703;2709;2711;2714;2719;2727;2732;2739;2749;2754;2756;2761;2764;2771;2780;2783;2789;2791;2794;2799;2808;2813;2820;2830;2837;2839;2847;2850;2857;2867;2870;2877;2882;2885;2890;2899;2902;2907;2910;2917;2920;2930;2935;2938;2948;2956;2959;2966;2970;2977;2987;2995;2998;3004;3007;3013;3027;3038;3043;3051;3055;3060;3065;3076;3080;3086;3090;3093;3101;3106;3110;3115;3132;3136;3139;3146;3149;3160;3177;3180;3188;3190;3198;3203;3207;3216;3219;3225;3228;3231;3237;3241;3247;3250;3256;3262;3267;3271;3275;3279;3284;3288;3291;3307;3310;3313;3321;3324;3327;3333;3335;3341;3344;3350;3356;3363;3367;3371;3375;3379;3385;3403;3408;3414;3418;3421;3429;3442;3445;3451;3456;3459;3465;3467;3474;3477;3489;3494;3499;3508;3511;3521;3524;3531;3534;3537;3549;3554;3558;3573;3576;3579;3588;3591;3594;3603;3608;3612;3630;3633;3636;3645;3648;3651;3656;3666;3672;3687;3692;3702;3705;3708;3714;3719;3722;3727;3729;3736;3757;3764;3767;3773;3782;3784;3792;3795;3800;3804;3808;3817;3823;3826;3829;3834;3836;3845;3855;3861;3867;3874;3877;3884;3889;3895;3904;3906;3909;3914;3917;3921;3928;3932;3938;3942;3951;3955;3966;3969;3972;3975;3990;3996;4000;4012;4014;4021;4030;4039;4049;4054;4057;4066;4075;4077;4090;4094;4102;4107;4116;4120;4128;4135;4138;4144;4156;4158;4164;4176;4179;4187;4196;4206;4210;4218;4225;4235;4237;4241;4250;4259;4270;4280;4284;4289;4292;4300;4307;4309;4312;4318;4332;4337;4345;4348;4354;4364;4371;4379;4386;4388;4398;4406;4409;4417;4424;4435;4445;4449;4454;4461;4470;4472;4480;4484;4492;4501;4503;4509;4512;4518;4523;4532;4537;4548;4556;4568;4579;4582;4594;4597;4605;4607;4616;4619;4623;4630;4634;4638;4646;4661;4666;4673;4682;4685;4693;4700;4712;4722;4729;4732;4736;4744;4758;4768;4774;4777;4789;4792;4803;4809;4818;4822;4829;4832;4836;4844;4852;4856;4859;4869;4879;4884;4888;4895;4904;4906;4911;4914;4923;4931;4935;4939;4948;4953;4959;4963;4967;4971;4979;4982;4987;4991;4998;5001;5005;5011;5018;5021;5024;5032;5039;5043;5047;5051;5059;5064;5068;5072;5075;5082;5090;5092;5098;5102;5114;5122;5127;5131;5138;5141;5145;5157;5163;5168;5171;5181;5186;5191;5198;5208;5217;5222;5229;5233;5238;5243;5254;5257;5260;5266;5272;5275;5282;5291;5294;5304;5307;5312;5315;5320;5329;5333;5338;5346;5354;5357;5361;5367;5369;5372;5377;5380;5384;5391;5393;5398;5401;5409;5412;5415;5425;5436;5442;5445;5452;5454;5460;5463;5466;5471;5475;5486;5489;5496;5502;5506;5513;5517;5522;5528;5531;5538;5542;5550;5554;5562;5564;5568;5577;5585;5588;5592;5598;5601;5606;5614;5616;5619;5625;5628;5635;5646;5655;5661;5664;5670;5673;5676;5681;5689;5694;5697;5703;5710;5714;5719;5721;5724;5727;5734;5741;5747;5750;5758;5761;5764;5769;5778;5783;5786;5792;5799;5803;5812;5814;5822;5825;5832;5836;5844;5850;5853;5859;5862;5865;5870;5880;5882;5887;5891;5894;5900;5903;5910;5913;5918;5921;5931;5939;5949;5952;5958;5965;5969;5979;5983;5986;5989;5997;6002;6006;6012;6015;6018;6034;6037;6043;6046;6055;6058;6062;6068;6076;6079;6083;6087;6089;6092;6098;6101;6104;6109;6117;6122;6130;6134;6142;6146;6154;6156;6160;6169;6178;6181;6187;6190;6193;6199;6207;6212;6215;6221;6225;6229;6236;6238;6241;6244;6251;6258;6261;6267;6270;6273;6279;6288;6293;6296;6302;6306;6310;6316;6318;6326;6329;6336;6340;6349;6355;6364;6367;6373;6381;6383;6386;6392;6395;6401;6406;6409;6415;6419;6426;6428;6431;6438;6443;6446;6460;6463;6469;6476;6487;6495;6498;6502;6508;6512;6523;6526;6532;6536;6544;6550;6553;6560;6564;6569;6576;6580;6588;6594;6602;6604;6608;6617;6626;6629;6635;6637;6640;6645;6653;6658;6665;6675;6680;6682;6685;6688;6695;6704;6707;6715;6717;6720;6725;6734;6739;6746;6756;6763;6765;6773;6776;6783;6793;6796;6803;6806;6809;6814;6823;6826;6833;6836;6843;6846;6856;6861;6864;6874;6882;6885;6892;6896;6903;6913;6921;6924;6928;6931;6937;6953;6964;6969;6977;6981;6986;6991;7002;7006;7012;7016;7019;7027;7032;7036;7041;7056;7062;7065;7072;7075;7086;7103;7106;7114;7116;7124;7129;7133;7142;7145;7151;7154;7157;7163;7165;7171;7174;7182;7188;7193;7197;7201;7205;7210;7214;7217;7233;7236;7239;7247;7250;7253;7259;7261;7267;7270;7276;7282;7287;7291;7295;7301;7305;7311;7329;7334;7340;7344;7347;7355;7368;7371;7377;7382;7385;7391;7393;7400;7403;7413;7420;7425;7434;7437;7447;7450;7457;7460;7463;7475;7480;7484;7499;7502;7505;7514;7517;7520;7527;7532;7538;7556;7559;7562;7571;7574;7577;7582;7592;7598;7613;7618;7628;7631;7634;7640;7643;7646;7651;7653;7662;7683;7690;7693;7699;7708;7710;7718;7721;7726;7730;7734;7743;7749;7752;7755;7760;7762;7769;7781;7787;7793;7800;7803;7810;7815;7821;7830;7832;7835;7840;7843;7847;7854;7858;7864;7868;7877;7881;7890;7895;7898;7901;7916;7922;7926;7938;7940;7947;7956;7965;7975;7980;7983;7992;8001;8003;8016;8020;8028;8033;8042;8046;8054;8061;8064;8070;8082;8084;8090;8102;8105;8113;8122;8132;8136;8144;8151;8161;8163;8167;8176;8185;8196;8206;8210;8215;8218;8226;8233;8235;8238;8244;8258;8263;8271;8274;8280;8290;8297;8305;8312;8314;8324;8332;8335;8343;8350;8361;8371;8375;8380;8387;8396;8398;8406;8410;8418;8427;8429;8435;8438;8444;8449;8458;8463;8474;8482;8494;8505;8508;8520;8523;8531;8533;8542;8545;8549;8556;8560;8564;8572;8587;8592;8599;8608;8611;8619;8626;8638;8648;8655;8658;8662;8670;8684;8694;8700;8703;8715;8718;8729;8735;8744;8748;8755;8758;8762;8770;8778;8782;8785;8795;8805;8810;8814;8821;8830;8832;8837;8840;8849;8857;8861;8865;8874;8879;8885;8889;8893;8897;8905;8908;8913;8917;8924;8927;8931;8937;8944;8947;8950;8958;8965;8969;8973;8977;8985;8990;8994;8998;9001;9008;9016;9018;9024;9028;9040;9048;9053;9057;9064;9067;9071;9083;9089;9094;9097;9107;9112;9117;9124;9134;9143;9148;9155;9159;9164;9169;9180;9183;9186;9192;9198;9201;9208;9217;9220;9230;9233;9238;9241;9246;9255;9259;9264;9272;9280;9283;9287;9293;9295;9298;9303;9306;9310;9317;9319;9324;9327;9335;9338;9341;9351;9362;9368;9371;9378;9380;9386;9389;9392;9397;9401;9412;9415;9422;9428;9432;9439;9443;9448;9454;9457;9464;9468;9476;9480;9488;9490;9494;9503;9511;9514;9518;9524;9527;9532;9540;9542;9545;9551;9554;9561;9572;9581;9587;9590;9596;9599;9602;9607;9615;9620;9623;9629;9636;9640;9645;9647;9650;9653;9660;9667;9673;9676;9684;9687;9690;9695;9704;9709;9712;9718;9725;9729;9738;9740;9748;9751;9758;9762;9770;9776;9779;9785;9788;9791;9796;9806;9808;9813;9817;9820;9826;9829;9836;9839;9844;9847;9857;9865;9875;9878;9884;9891;9895;9905;9909;9912;9915;9923;9928;9932;9938;9941;9944;9960;9963;9969;9972;9981;9984;9988;9994;10002;10005;10009;10013;10015;10018;10024;10027;10030;10035;10043;10048;10056;10060;10068;10072;10080;10082;10086;10095;10104;10107;10113;10116;10119;10125;10133;10138;10141;10147;10151;10155;10162;10164;10167;10170;10177;10184;10187;10193;10196;10199;10205;10214;10219;10222;10228;10232;10236;10242;10244;10252;10255;10262;10266;10275;10281;10290;10293;10299;10307;10309;10312;10318;10321;10327;10332;10335;10341;10345;10352;10354;10357;10364;10369;10372;10386;10389;10395;10402;10413;10421;10424;10428;10434;10438;10449;10452;10458;10462;10470;10476;10479;10486;10490;10495;10502;10506;10514;10520;10528;10530;10534;10543;10552;10555;10561;10563;10566;10571;10579;10584;10591;10601;10606;10608;10611;10614;10621;10630;10633;10641;10643;10646;10651;10660;10665;10672;10682;10689;10691;10699;10702;10709;10719;10722;10729;10732;10735;10740;10749;10752;10759;10762;10769;10772;10782;10787;10790;10800;10808;10811;10818;10822;10829;10839;10847;10850;10854;10857;10863;10879;10890;10895;10903;10907;10912;10917;10928;10932;10938;10942;10945;10953;10958;10962;10967;10982;10988;10991;10998;11001;11012;11029;11032;11040;11042;11050;11055;11059;11068;11071;11077;11080;11083;11089;11091;11097;11100;11108;11114;11119;11123;11127;11131;11136;11140;11143;11159;11162;11165;11173;11176;11179;11185;11187;11193;11196;11202;11208;11213;11217;11221;11227;11231;11237;11255;11260;11266;11270;11273;11281;11294;11297;11303;11308;11311;11317;11319;11326;11329;11339;11346;11351;11360;11363;11373;11376;11383;11386;11389;11401;11406;11410;11425;11428;11431;11440;11443;11446;11453;11458;11464;11482;11485;11488;11497;11500;11503;11508;11518;11524;11539;11544;11554;11557;11560;11566;11569;11572;11577;11579;11588;11609;11616;11619;11625;11634;11636;11644;11647;11652;11656;11660;11669;11675;11678;11681;11686;11688;11695;11707;11713;11719;11726;11729;11736;11741;11747;11756;11758;11761;11766;11769;11773;11780;11784;11790;11794;11803;11807;11816;11821;11824;11827;11842;11848;11852;11864;11866;11873;11882;11891;11901;11906;11909;11918;11927;11929;11942;11946;11954;11959;11968;11972;11980;11987;11990;11996;12008;12010;12016;12028;12031;12039;12048;12058;12062;12070;12077;12087;12089;12093;12102;12111;12122;12132;12136;12141;12144;12152;12159;12161;12164;12170;12184;12189;12197;12200;12206;12216;12223;12231;12238;12240;12250;12258;12261;12269;12276;12287;12297;12301;12306;12313;12322;12324;12332;12336;12344;12353;12355;12361;12364;12370;12375;12384;12389;12400;12408;12420;12431;12434;12446;12449;12457;12459;12468;12471;12475;12482;12486;12490;12498;12513;12518;12525;12534;12537;12545;12552;12564;12574;12581;12584;12588;12596;12610;12620;12626;12629;12641;12644;12655;12661;12670;12674;12681;12684;12688;12696;12704;12708;12711;12721;12731;12736;12740;12747;12756;12758;12763;12766;12775;12783;12787;12791;12800;12805;12811;12815;12819;12823;12831;12834;12839;12843;12850;12853;12857;12863;12870;12873;12876;12884;12891;12895;12899;12903;12911;12916;12920;12924;12927;12934;12942;12944;12950;12954;12966;12974;12979;12983;12990;12993;12997;13009;13015;13020;13023;13033;13038;13043;13050;13060;13069;13074;13081;13085;13090;13095;13106;13109;13112;13118;13124;13127;13134;13143;13146;13156;13159;13164;13167;13172;13181;13185;13190;13198;13206;13209;13213;13219;13221;13224;13229;13232;13236;13243;13245;13250;13253;13261;13264;13267;13277;13288;13294;13297;13304;13306;13312;13315;13318;13323;13327;13337;13340;13347;13353;13357;13364;13368;13373;13379;13382;13389;13393;13401;13405;13413;13415;13419;13428;13436;13439;13443;13449;13452;13457;13465;13467;13470;13476;13479;13486;13497;13506;13512;13515;13521;13524;13527;13532;13540;13545;13548;13554;13561;13565;13570;13572;13575;13578;13585;13592;13598;13601;13609;13612;13615;13620;13629;13634;13637;13643;13650;13654;13663;13665;13673;13676;13683;13687;13695;13701;13704;13710;13713;13716;13721;13731;13733;13738;13742;13745;13751;13754;13761;13764;13769;13772;13782;13790;13800;13803;13809;13816;13820;13830;13834;13837;13840;13848;13853;13857;13863;13866;13869;13885;13888;13894;13897;13906;13909;13913;13919;13927;13930;13934;13938;13940;13943;13949;13952;13955;13960;13968;13973;13981;13985;13993;13997;14005;14007;14011;14020;14029;14032;14038;14041;14044;14050;14058;14063;14066;14072;14076;14080;14087;14089;14092;14095;14102;14109;14112;14118;14121;14124;14130;14139;14144;14147;14153;14157;14161;14167;14169;14177;14180;14187;14191;14200;14206;14215;14218;14224;14232;14234;14237;14243;14246;14252;14257;14260;14266;14270;14277;14279;14282;14289;14294;14297;14311;14314;14320;14327;14338;14346;14349;14353;14359;14363;14374;14377;14383;14387;14395;14401;14404;14411;14415;14420;14427;14431;14439;14445;14453;14455;14459;14468;14477;14480;14486;14488;14491;14496;14504;14509;14516;14526;14531;14533;14536;14539;14546;14555;14558;14566;14568;14571;14576;14585;14590;14597;14607;14614;14616;14624;14627;14634;14644;14647;14654;14657;14660;14665;14674;14677;14684;14687;14694;14697;14707;14712;14715;14725;14733;14736;14743;14747;14754;14764;14772;14775;14779;14782;14788;14804;14815;14820;14828;14832;14837;14842;14853;14857;14863;14867;14870;14878;14883;14887;14892;14907;14913;14916;14923;14926;14937;14954;14957;14965;14967;14975;14980;14984;14993;14996;15002;15005;15008;15014;15016;15022;15025;15033;15039;15044;15048;15052;15056;15061;15065;15068;15084;15087;15090;15098;15101;15104;15110;15112;15118;15121;15127;15133;15138;15142;15146;15152;15156;15162;15180;15185;15191;15195;15198;15206;15219;15222;15228;15233;15236;15242;15244;15251;15254;15264;15271;15276;15285;15288;15298;15301;15308;15311;15314;15326;15331;15335;15350;15353;15356;15365;15368;15371;15378;15383;15389;15407;15410;15413;15422;15425;15428;15433;15443;15449;15464;15469;15479;15482;15485;15491;15494;15497;15502;15504;15513;15534;15541;15544;15550;15559;15561;15569;15572;15577;15581;15585;15594;15600;15603;15606;15611;15613;15620;15632;15638;15644;15651;15654;15661;15666;15672;15681;15683;15686;15691;15694;15698;15705;15709;15715;15719;15728;15732;15741;15746;15749;15752;15767;15773;15777;15789;15791;15798;15807;15816;15826;15831;15834;15843;15852;15854;15867;15871;15879;15884;15893;15897;15905;15912;15915;15921;15933;15935;15941;15953;15956;15964;15973;15983;15987;15995;16002;16012;16014;16018;16027;16036;16047;16057;16061;16066;16069;16077;16084;16086;16089;16095;16109;16114;16122;16125;16131;16141;16148;16156;16163;16165;16175;16183;16186;16194;16201;16212;16222;16226;16231;16238;16247;16249;16257;16261;16269;16278;16280;16286;16289;16295;16300;16309;16314;16325;16333;16345;16356;16359;16371;16374;16382;16384;16393;16396;16400;16407;16411;16415;16423;16438;16443;16450;16459;16462;16470;16477;16489;16499;16506;16509;16513;16521;16535;16545;16551;16554;16566;16569;16580;16586;16595;16599;16606;16609;16613;16621;16629;16633;16636;16646;16656;16661;16665;16672;16681;16683;16688;16691;16700;16708;16712;16716;16725;16730;16736;16740;16744;16748;16756;16759;16764;16768;16775;16778;16782;16788;16795;16798;16801;16809;16816;16820;16824;16828;16836;16841;16845;16849;16852;16859;16867;16869;16875;16879;16891;16899;16904;16908;16915;16918;16922;16934;16940;16945;16948;16958;16963;16968;16975;16985;16994;16999;17006;17010;17015;17020;17031;17034;17037;17043;17049;17052;17059;17068;17071;17081;17084;17089;17092;17097;17106;17110;17115;17123;17131;17134;17138;17144;17146;17149;17154;17157;17161;17168;17170;17175;17178;17186;17189;17192;17202;17213;17219;17222;17229;17231;17237;17240;17243;17248;17252;17263;17266;17273;17279;17285;17290;17294;17299;17305;17308;17315;17319;17327;17331;17339;17341;17345;17354;17362;17365;17369;17375;17378;17383;17391;17393;17396;17402;17405;17408;17413;17424;17433;17439;17442;17448;17451;17454;17459;17467;17472;17475;17481;17488;17492;17497;17499;17502;17505;17512;17519;17522;17528;17531;17537;17540;17543;17548;17557;17562;17565;17571;17578;17582;17591;17593;17601;17604;17611;17615;17623;17629;17632;17638;17641;17644;17647;17652;17660;17662;17667;17671;17674;17680;17683;17690;17693;17698;17701;17711;17719;17729;17732;17738;17745;17749;17759;17763;17766;17769;17772;17778;17783;17787;17793;17796;17799;17815;17818;17824;17827;17836;17839;17843;17849;17857;17860;17864;17868;17870;17873;17879;17882;17885;17888;17893;17899;17904;17912;17916;17924;17928;17936;17938;17942;17951;17960;17963;17969;17972;17975;17981;17989;17994;17997;18003;18007;18010;18014;18019;18021;18024;18027;18034;18041;18044;18050;18053;18056;18062;18071;18076;18079;18085;18089;18093;18099;18101;18109;18112;18119;18123;18126;18135;18139;18148;18151;18157;18165;18167;18170;18176;18179;18185;18190;18193;18199;18203;18210;18212;18215;18222;18227;18230;18244;18247;18250;18256;18261;18272;18280;18283;18287;18293;18297;18308;18311;18317;18321;18329;18335;18338;18345;18349;18354;18361;18365;18368;18376;18380;18388;18390;18394;18403;18412;18415;18421;18423;18426;18431;18439;18444;18451;18461;18466;18468;18471;18474;18481;18484;18493;18496;18502;18504;18507;18512;18521;18526;18533;18543;18550;18552;18560;18563;18570;18580;18583;18590;18593;18596;18601;18604;18613;18616;18621;18624;18631;18634;18644;18649;18652;18662;18670;18673;18680;18684;18691;18701;18709;18712;18716;18719;18722;18728;18742;18752;18757;18765;18769;18774;18779;18790;18794;18800;18804;18807;18815;18820;18824;18829;18832;18847;18851;18854;18861;18864;18875;18892;18895;18903;18905;18913;18918;18922;18931;18934;18940;18943;18946;18949;18955;18957;18963;18966;18972;18978;18983;18987;18991;18995;19000;19004;19007;19023;19026;19029;19037;19040;19043;19049;19051;19057;19060;19066;19069;19075;19080;19084;19088;19092;19096;19102;19120;19125;19131;19135;19138;19146;19159;19162;19168;19173;19176;19182;19184;19187;19194;19197;19207;19212;19217;19226;19229;19239;19242;19249;19252;19255;19267;19272;19276;19291;19294;19297;19306;19309;19312;19315;19322;19327;19331;19349;19352;19355;19364;19367;19370;19375;19385;19391;19406;19411;19421;19424;19427;19430;19436;19439;19442;19447;19449;19456;19477;19484;19487;19493;19502;19504;19512;19515;19520;19524;19528;19537;19543;19546;19551;19556;19558;19565;19575;19581;19587;19594;19597;19604;19609;19615;19624;19626;19629;19634;19637;19641
¡|35.0|404;969;2005;2967;3565;3622;3679;4333;4896;5932;6893;7491;7548;7605;8259;8822;9858;10819;11417;11474;11531;12185;12748;13783;14744;15342;15399;15456;16110;16673;17712;18681;19283;19341;19398
!|35.0|434;1023;2021;2986;3601;3664;3713;4363;4952;5948;6912;7525;7590;7639;8289;8878;9874;10838;11451;11516;11565;12215;12804;13799;14763;15376;15441;15490;16140;16729;17728;18700;19320;19383;19435
,|225.0|60;100;138;160;268;361;402;515;531;628;1129;1193;1252;1300;1400;1507;1622;1727;1761;1815;1850;1918;2003;2141;2215;2251;2282;2331;2361;2474;2560;2596;2663;2699;2726;2779;2807;2866;2898;2965;3050;3215;3402;3548;3799;3989;4029;4065;4089;4195;4288;4331;4444;4460;4555;5058;5121;5180;5228;5328;5435;5549;5654;5688;5740;5777;5843;5930;6067;6141;6177;6206;6257;6287;6400;6486;6522;6587;6625;6652;6703;6733;6792;6822;6891;6976;7141;7328;7474;7725;7915;7955;7991;8015;8121;8214;8257;8370;8386;8481;8984;9047;9106;9154;9254;9361;9475;9580;9614;9666;9703;9769;9856;9993;10067;10103;10132;10183;10213;10326;10412;10448;10513;10551;10578;10629;10659;10718;10748;10817;10902;11067;11254;11400;11651;11841;11881;11917;11941;12047;12140;12183;12296;12312;12407;12910;12973;13032;13080;13180;13287;13400;13505;13539;13591;13628;13694;13781;13918;13992;14028;14057;14108;14138;14251;14337;14373;14438;14476;14503;14554;14584;14643;14673;14742;14827;14992;15179;15325;15576;15766;15806;15842;15866;15972;16065;16108;16221;16237;16332;16835;16898;16957;17005;17105;17212;17326;17432;17466;17518;17556;17622;17710;17848;17923;17959;17988;18040;18070;18184;18271;18307;18375;18411;18438;18492;18520;18579;18612;18679;18764;18930;19119;19266;19519
.|170.0|36;186;350;550;752;873;967;1104;1181;1375;1480;1557;1649;1718;1808;1904;2099;2173;2242;2324;2411;2527;2690;2770;2856;2955;3035;3100;3298;3393;3485;3520;3754;3926;3965;4115;4279;4479;4681;4802;4894;5031;5110;5303;5408;5483;5576;5645;5733;5831;6026;6097;6168;6250;6335;6451;6616;6694;6782;6881;6961;7026;7224;7319;7409;7446;7680;7852;7889;8041;8205;8405;8607;8728;8820;8957;9036;9229;9334;9409;9502;9571;9659;9757;9952;10023;10094;10176;10261;10377;10542;10620;10708;10807;10887;10952;11150;11245;11335;11372;11606;11778;11815;11967;12131;12331;12533;12654;12746;12883;12962;13155;13260;13335;13427;13496;13584;13682;13877;13948;14019;14101;14186;14302;14467;14545;14633;14732;14812;14877;15075;15170;15260;15297;15531;15703;15740;15892;16056;16256;16458;16579;16671;16808;16887;17080;17185;17260;17353;17423;17511;17610;17807;17878;17950;18033;18118;18235;18402;18480;18569;18669;18750;18814;19014;19110;19203;19238;19474;19646
:|40.0|1610;2203;2651;3168;3433;3563;3620;3677;5537;6129;6575;7094;7359;7489;7546;7603;9463;10055;10501;11020;11285;11415;11472;11529;13388;13980;14426;14945;15210;15340;15397;15454;17314;17911;18360;18883;19150;19281;19339;19396
A|294.0|0;84;131;179;238;354;381;417;517;573;712;851;881;941;970;978;1230;1377;1442;1482;1509;1605;1682;1695;1738;1771;1826;1860;1929;1968;2026;2164;2306;2385;2598;2710;2790;2871;3036;3161;3170;3189;3251;3300;3345;3435;3460;3522;3566;3580;3623;3637;3680;3728;3783;3809;3856;3875;3905;3927;4013;4058;4108;4165;4281;4308;4346;4446;4502;4639;4778;4810;4870;4897;4905;5158;5305;5368;5410;5437;5532;5607;5620;5665;5698;5753;5787;5854;5895;5953;6088;6232;6311;6524;6636;6716;6797;6962;7087;7096;7115;7177;7226;7271;7361;7386;7448;7492;7506;7549;7563;7606;7652;7709;7735;7782;7801;7831;7853;7939;7984;8034;8091;8207;8234;8272;8372;8428;8565;8704;8736;8796;8823;8831;9084;9231;9294;9336;9363;9458;9533;9546;9591;9624;9679;9713;9780;9821;9879;10014;10158;10237;10450;10562;10642;10723;10888;11013;11022;11041;11103;11152;11197;11287;11312;11374;11418;11432;11475;11489;11532;11578;11635;11661;11708;11727;11757;11779;11865;11910;11960;12017;12133;12160;12198;12298;12354;12491;12630;12662;12722;12749;12757;13010;13157;13220;13262;13289;13383;13458;13471;13516;13549;13604;13638;13705;13746;13804;13939;14083;14162;14375;14487;14567;14648;14813;14938;14947;14966;15028;15077;15122;15212;15237;15299;15343;15357;15400;15414;15457;15503;15560;15586;15633;15652;15682;15704;15790;15835;15885;15942;16058;16085;16123;16223;16279;16416;16555;16587;16647;16674;16682;16935;17082;17145;17187;17214;17309;17384;17397;17443;17476;17532;17566;17633;17675;17733;17869;18015;18094;18309;18422;18503;18584;18876;18885;18904;18967;19016;19061;19152;19177;19240;19284;19298;19342;19356;19399;19448;19503;19529;19576;19595;19625
B|40.0|1098;1348;2515;2528;2831;2949;3094;3878;5025;5276;6439;6452;6757;6875;7020;7804;8951;9202;10365;10378;10683;10801;10946;11730;12877;13128;14290;14303;14608;14726;14871;15655;16802;17053;18223;18236;18544;18663;18808;19598
C|270.0|29;123;151;192;297;342;426;472;483;491;521;556;564;630;640;720;794;808;908;931;988;995;1003;1085;1259;1281;1295;1380;1447;1539;1565;1587;1877;1995;2065;2112;2628;2637;2646;2715;2795;2886;2903;3199;3272;3368;3415;3446;3597;3652;3709;3830;3839;3910;3958;4050;4080;4121;4226;4271;4355;4399;4410;4418;4450;4485;4493;4559;4569;4647;4723;4737;4837;4860;4917;4924;4932;5012;5187;5209;5223;5308;5373;5467;5490;5514;5804;5922;5992;6038;6554;6561;6570;6641;6721;6810;6829;7125;7198;7292;7341;7372;7521;7578;7635;7756;7763;7836;7882;7976;8006;8047;8152;8197;8281;8325;8336;8344;8376;8411;8419;8485;8495;8573;8649;8663;8763;8786;8843;8850;8858;8938;9113;9135;9149;9234;9299;9393;9416;9440;9730;9848;9918;9964;10480;10487;10496;10567;10647;10736;10755;11051;11124;11218;11267;11298;11447;11504;11561;11682;11689;11762;11808;11902;11932;11973;12078;12123;12207;12251;12262;12270;12302;12337;12345;12411;12421;12499;12575;12589;12689;12712;12769;12776;12784;12864;13039;13061;13075;13160;13225;13319;13341;13365;13655;13773;13843;13889;14405;14412;14421;14492;14572;14661;14680;14976;15049;15143;15192;15223;15372;15429;15486;15607;15614;15687;15733;15827;15857;15898;16003;16048;16132;16176;16187;16195;16227;16262;16270;16336;16346;16424;16500;16514;16614;16637;16694;16701;16709;16789;16964;16986;17000;17085;17150;17244;17267;17291;17583;17702;17773;17819;18339;18346;18355;18427;18508;18597;18617;18914;18988;19085;19132;19163;19316;19371;19431;19552;19559;19630
