Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
!		|35.0		|0,0022			|8,8283				|0,0194
,		|225.0		|0,0141			|6,1482				|0,0867
.		|170.0		|0,0107			|6,5462				|0,0700
:		|40.0		|0,0025			|8,6439				|0,0216
A		|294.0		|0,0185			|5,7563				|0,1065
B		|40.0		|0,0025			|8,6439				|0,0216
C		|270.0		|0,0170			|5,8783				|0,0999
D		|305.0		|0,0192			|5,7027				|0,1095
E		|339.0		|0,0213			|5,5530				|0,1183
F		|35.0		|0,0022			|8,8283				|0,0194
G		|85.0		|0,0053			|7,5598				|0,0401
H		|85.0		|0,0053			|7,5598				|0,0401
I		|25.0		|0,0016			|9,2877				|0,0149
J		|5.0		|0,0003			|11,7027				|0,0035
L		|365.0		|0,0229			|5,4485				|0,1248
M		|195.0		|0,0123			|6,3452				|0,0780
N		|125.0		|0,0079			|6,9839				|0,0552
O		|125.0		|0,0079			|6,9839				|0,0552
P		|310.0		|0,0195			|5,6804				|0,1108
Q		|45.0		|0,0028			|8,4804				|0,0237
R		|55.0		|0,0035			|8,1584				|0,0286
S		|280.0		|0,0176			|5,8283				|0,1026
T		|135.0		|0,0085			|6,8783				|0,0585
U		|135.0		|0,0085			|6,8783				|0,0585
V		|60.0		|0,0038			|8,0398				|0,0306
Y		|145.0		|0,0091			|6,7799				|0,0617
a		|1970.0		|0,1238			|3,0139				|0,3731
b		|165.0		|0,0104			|6,5873				|0,0685
c		|275.0		|0,0173			|5,8531				|0,1013
d		|300.0		|0,0189			|5,7255				|0,1082
e		|1440.0		|0,0905			|3,4659				|0,3137
f		|40.0		|0,0025			|8,6439				|0,0216
g		|115.0		|0,0072			|7,1178				|0,0512
h		|15.0		|0,0009			|10,1178				|0,0091
i		|775.0		|0,0487			|4,3599				|0,2123
j		|55.0		|0,0035			|8,1584				|0,0286
l		|460.0		|0,0289			|5,1128				|0,1478
m		|320.0		|0,0201			|5,6367				|0,1133
n		|995.0		|0,0625			|4,0000				|0,2500
o		|1275.0		|0,0801			|3,6421				|0,2917
p		|135.0		|0,0085			|6,8783				|0,0585
q		|75.0		|0,0047			|7,7331				|0,0363
r		|775.0		|0,0487			|4,3599				|0,2123
s		|1035.0		|0,0650			|3,9434				|0,2563
t		|570.0		|0,0358			|4,8039				|0,1720
u		|470.0		|0,0295			|5,0831				|0,1500
v		|95.0		|0,0060			|7,3808				|0,0443
x		|15.0		|0,0009			|10,1178				|0,0091
y		|50.0		|0,0031			|8,3335				|0,0258
z		|50.0		|0,0031			|8,3335				|0,0258
¡		|35.0		|0,0022			|8,8283				|0,0194
É		|5.0		|0,0003			|11,7027				|0,0035
Ú		|5.0		|0,0003			|11,7027				|0,0035
á		|90.0		|0,0057			|7,4548				|0,0425
é		|20.0		|0,0013			|9,5873				|0,0125
í		|75.0		|0,0047			|7,7331				|0,0363
ñ		|90.0		|0,0057			|7,4548				|0,0425
ó		|190.0		|0,0119			|6,3929				|0,0761
ú		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 15913
cantidad total probabilidad de simbolos contados = 1.0000
Orden de mayor a menor frecuencia de aparición obtenida: 
a|e|o|s|n|i|i|t|u|l|L|E|m|P|D|d|A|S|c|C|,|M|ó|.|b|Y|T|T|T|N|N|g|v|á|á|G|G|í|í|V|R|R|y|y|Q|:|:|:|¡|¡|¡|I|é|h|h|É|É|É|É|
