Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
!		|7.0		|0,0018			|0,0164				|0,0000
,		|45.0		|0,0115			|0,0741				|0,0009
.		|34.0		|0,0087			|0,0595				|0,0005
:		|8.0		|0,0020			|0,0179				|0,0000
A		|59.0		|0,0150			|0,0909				|0,0014
B		|8.0		|0,0020			|0,0179				|0,0000
C		|54.0		|0,0138			|0,0853				|0,0012
D		|61.0		|0,0155			|0,0932				|0,0014
E		|68.0		|0,0173			|0,1013				|0,0018
F		|7.0		|0,0018			|0,0164				|0,0000
G		|17.0		|0,0043			|0,0338				|0,0001
H		|17.0		|0,0043			|0,0338				|0,0001
I		|5.0		|0,0013			|0,0125				|0,0000
J		|1.0		|0,0003			|0,0035				|0,0000
L		|73.0		|0,0186			|0,1069				|0,0020
M		|39.0		|0,0099			|0,0659				|0,0007
N		|25.0		|0,0064			|0,0466				|0,0003
O		|25.0		|0,0064			|0,0466				|0,0003
P		|62.0		|0,0158			|0,0945				|0,0015
Q		|9.0		|0,0023			|0,0202				|0,0000
R		|11.0		|0,0028			|0,0237				|0,0001
S		|56.0		|0,0143			|0,0876				|0,0013
T		|27.0		|0,0069			|0,0495				|0,0003
U		|27.0		|0,0069			|0,0495				|0,0003
V		|12.0		|0,0031			|0,0258				|0,0001
Y		|29.0		|0,0074			|0,0524				|0,0004
a		|394.0		|0,1003			|0,3328				|0,0334
b		|33.0		|0,0084			|0,0579				|0,0005
c		|55.0		|0,0140			|0,0862				|0,0012
d		|60.0		|0,0153			|0,0923				|0,0014
e		|288.0		|0,0733			|0,2763				|0,0203
f		|8.0		|0,0020			|0,0179				|0,0000
g		|23.0		|0,0059			|0,0437				|0,0003
h		|3.0		|0,0008			|0,0082				|0,0000
i		|155.0		|0,0395			|0,1841				|0,0073
j		|11.0		|0,0028			|0,0237				|0,0001
l		|92.0		|0,0234			|0,1268				|0,0030
m		|64.0		|0,0163			|0,0968				|0,0016
n		|199.0		|0,0507			|0,2181				|0,0111
new line		|32.0		|0,0081			|0,0563				|0,0005
o		|255.0		|0,0649			|0,2561				|0,0166
p		|27.0		|0,0069			|0,0495				|0,0003
q		|15.0		|0,0038			|0,0306				|0,0001
r		|155.0		|0,0395			|0,1841				|0,0073
return		|32.0		|0,0081			|0,0563				|0,0005
s		|207.0		|0,0527			|0,2238				|0,0118
space		|680.0		|0,1732			|0,4381				|0,0759
t		|114.0		|0,0290			|0,1481				|0,0043
u		|94.0		|0,0239			|0,1287				|0,0031
v		|19.0		|0,0048			|0,0370				|0,0002
x		|3.0		|0,0008			|0,0082				|0,0000
y		|10.0		|0,0025			|0,0216				|0,0001
z		|10.0		|0,0025			|0,0216				|0,0001
¡		|7.0		|0,0018			|0,0164				|0,0000
É		|1.0		|0,0003			|0,0035				|0,0000
Ú		|1.0		|0,0003			|0,0035				|0,0000
á		|18.0		|0,0046			|0,0357				|0,0002
é		|4.0		|0,0010			|0,0100				|0,0000
í		|15.0		|0,0038			|0,0306				|0,0001
ñ		|18.0		|0,0046			|0,0357				|0,0002
ó		|38.0		|0,0097			|0,0649				|0,0006
ú		|1.0		|0,0003			|0,0035				|0,0000



cantidad total frecuencia de simbolos contados = 3927
cantidad total probabilidad de simbolos contados = 1.0002
cantidad total probabilidad de simbolos contados = 4.7547
Orden de mayor a menor frecuencia de apariciÃ³n obtenida: 
space|a|e|o|s|n|i|t|u|l|L|E|m|P|D|d|A|S|c|C|,|M|ó|.|b|new line|Y|T|N|g|v|á|G|í|V|R|y|Q|:|¡|I|é|h|É|
