Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
!		|35.0		|0,0018			|9,1178				|0,0164
,		|225.0		|0,0115			|6,4422				|0,0741
.		|170.0		|0,0087			|6,8448				|0,0595
:		|40.0		|0,0020			|8,9658				|0,0179
A		|294.0		|0,0150			|6,0589				|0,0909
B		|40.0		|0,0020			|8,9658				|0,0179
C		|270.0		|0,0137			|6,1897				|0,0848
D		|305.0		|0,0155			|6,0116				|0,0932
E		|339.0		|0,0173			|5,8531				|0,1013
F		|35.0		|0,0018			|9,1178				|0,0164
G		|85.0		|0,0043			|7,8614				|0,0338
H		|85.0		|0,0043			|7,8614				|0,0338
I		|25.0		|0,0013			|9,5873				|0,0125
J		|5.0		|0,0003			|11,7027				|0,0035
L		|365.0		|0,0186			|5,7486				|0,1069
M		|195.0		|0,0099			|6,6584				|0,0659
N		|125.0		|0,0064			|7,2877				|0,0466
O		|125.0		|0,0064			|7,2877				|0,0466
P		|310.0		|0,0158			|5,9839				|0,0945
Q		|45.0		|0,0023			|8,7642				|0,0202
R		|55.0		|0,0028			|8,4804				|0,0237
S		|280.0		|0,0143			|6,1278				|0,0876
T		|135.0		|0,0069			|7,1792				|0,0495
U		|135.0		|0,0069			|7,1792				|0,0495
V		|60.0		|0,0031			|8,3335				|0,0258
Y		|145.0		|0,0074			|7,0783				|0,0524
a		|1970.0		|0,1003			|3,3176				|0,3328
b		|165.0		|0,0084			|6,8954				|0,0579
c		|275.0		|0,0140			|6,1584				|0,0862
d		|300.0		|0,0153			|6,0303				|0,0923
e		|1440.0		|0,0733			|3,7700				|0,2763
f		|40.0		|0,0020			|8,9658				|0,0179
g		|115.0		|0,0059			|7,4051				|0,0437
h		|15.0		|0,0008			|10,2877				|0,0082
i		|775.0		|0,0394			|4,6657				|0,1838
j		|55.0		|0,0028			|8,4804				|0,0237
l		|460.0		|0,0234			|5,4173				|0,1268
m		|320.0		|0,0163			|5,9390				|0,0968
n		|995.0		|0,0506			|4,3047				|0,2178
new line		|164.0		|0,0083			|6,9127				|0,0574
o		|1275.0		|0,0649			|3,9456				|0,2561
p		|135.0		|0,0069			|7,1792				|0,0495
q		|75.0		|0,0038			|8,0398				|0,0306
r		|775.0		|0,0394			|4,6657				|0,1838
return		|164.0		|0,0083			|6,9127				|0,0574
s		|1035.0		|0,0527			|4,2461				|0,2238
space		|3406.0		|0,1734			|2,5278				|0,4383
t		|570.0		|0,0290			|5,1078				|0,1481
u		|470.0		|0,0239			|5,3868				|0,1287
v		|95.0		|0,0048			|7,7027				|0,0370
x		|15.0		|0,0008			|10,2877				|0,0082
y		|50.0		|0,0025			|8,6439				|0,0216
z		|50.0		|0,0025			|8,6439				|0,0216
¡		|35.0		|0,0018			|9,1178				|0,0164
É		|5.0		|0,0003			|11,7027				|0,0035
Ú		|5.0		|0,0003			|11,7027				|0,0035
á		|90.0		|0,0046			|7,7642				|0,0357
é		|20.0		|0,0010			|9,9658				|0,0100
í		|75.0		|0,0038			|8,0398				|0,0306
ñ		|90.0		|0,0046			|7,7642				|0,0357
ó		|190.0		|0,0097			|6,6878				|0,0649
ú		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 19647
cantidad total probabilidad de simbolos contados = 1.0004
Orden de mayor a menor frecuencia de aparición obtenida: 
space|a|e|o|s|n|i|i|t|u|l|L|E|m|P|D|d|A|S|c|C|,|M|ó|.|b|new line|new line|Y|T|T|T|N|N|g|v|á|á|G|G|í|í|V|R|R|y|y|Q|:|:|:|¡|¡|¡|I|é|h|h|É|É|É|É|
