Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
!		|35.0		|0,0018			|9,1178				|0,0164
,		|225.0		|0,0116			|6,4297				|0,0746
.		|170.0		|0,0088			|6,8283				|0,0601
:		|40.0		|0,0021			|8,8954				|0,0187
A		|294.0		|0,0152			|6,0398				|0,0918
B		|40.0		|0,0021			|8,8954				|0,0187
C		|270.0		|0,0140			|6,1584				|0,0862
D		|305.0		|0,0158			|5,9839				|0,0945
E		|339.0		|0,0175			|5,8365				|0,1021
F		|35.0		|0,0018			|9,1178				|0,0164
G		|85.0		|0,0044			|7,8283				|0,0344
H		|85.0		|0,0044			|7,8283				|0,0344
I		|25.0		|0,0013			|9,5873				|0,0125
J		|5.0		|0,0003			|11,7027				|0,0035
L		|365.0		|0,0189			|5,7255				|0,1082
M		|195.0		|0,0101			|6,6295				|0,0670
N		|125.0		|0,0065			|7,2653				|0,0472
O		|125.0		|0,0065			|7,2653				|0,0472
P		|310.0		|0,0160			|5,9658				|0,0955
Q		|45.0		|0,0023			|8,7642				|0,0202
R		|55.0		|0,0028			|8,4804				|0,0237
S		|280.0		|0,0145			|6,1078				|0,0886
T		|135.0		|0,0070			|7,1584				|0,0501
U		|135.0		|0,0070			|7,1584				|0,0501
V		|60.0		|0,0031			|8,3335				|0,0258
Y		|145.0		|0,0075			|7,0589				|0,0529
a		|1970.0		|0,1019			|3,2948				|0,3357
b		|165.0		|0,0085			|6,8783				|0,0585
c		|275.0		|0,0142			|6,1380				|0,0872
d		|300.0		|0,0155			|6,0116				|0,0932
e		|1440.0		|0,0745			|3,7466				|0,2791
f		|40.0		|0,0021			|8,8954				|0,0187
g		|115.0		|0,0059			|7,4051				|0,0437
h		|15.0		|0,0008			|10,2877				|0,0082
i		|775.0		|0,0401			|4,6403				|0,1861
j		|55.0		|0,0028			|8,4804				|0,0237
l		|460.0		|0,0238			|5,3929				|0,1284
m		|320.0		|0,0166			|5,9127				|0,0982
n		|995.0		|0,0515			|4,2793				|0,2204
new line		|10.0		|0,0005			|10,9658				|0,0055
o		|1275.0		|0,0660			|3,9214				|0,2588
p		|135.0		|0,0070			|7,1584				|0,0501
q		|75.0		|0,0039			|8,0023				|0,0312
r		|775.0		|0,0401			|4,6403				|0,1861
return		|10.0		|0,0005			|10,9658				|0,0055
s		|1035.0		|0,0535			|4,2243				|0,2260
space		|3396.0		|0,1757			|2,5088				|0,4408
t		|570.0		|0,0295			|5,0831				|0,1500
u		|470.0		|0,0243			|5,3629				|0,1303
v		|95.0		|0,0049			|7,6730				|0,0376
x		|15.0		|0,0008			|10,2877				|0,0082
y		|50.0		|0,0026			|8,5873				|0,0223
z		|50.0		|0,0026			|8,5873				|0,0223
¡		|35.0		|0,0018			|9,1178				|0,0164
É		|5.0		|0,0003			|11,7027				|0,0035
Ú		|5.0		|0,0003			|11,7027				|0,0035
á		|90.0		|0,0047			|7,7331				|0,0363
é		|20.0		|0,0010			|9,9658				|0,0100
í		|75.0		|0,0039			|8,0023				|0,0312
ñ		|90.0		|0,0047			|7,7331				|0,0363
ó		|190.0		|0,0098			|6,6730				|0,0654
ú		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 19329
cantidad total probabilidad de simbolos contados = 1.0002
Orden de mayor a menor frecuencia de aparición obtenida: 
space|a|e|o|s|n|i|i|t|u|l|L|E|m|P|D|d|A|S|c|C|,|M|ó|.|b|Y|T|T|T|N|N|g|v|á|á|G|G|í|í|V|R|R|y|y|Q|:|:|:|¡|¡|¡|I|é|h|h|new line|new line|É|É|É|É|
