Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
+102.0625		|10.0		|0,0005			|10,9658				|0,0055
+250.5		|3396.0		|0,1757			|2,5088				|0,4408
+258.3125		|35.0		|0,0018			|9,1178				|0,0164
+344.25		|225.0		|0,0116			|6,4297				|0,0746
+359.875		|170.0		|0,0088			|6,8283				|0,0601
+453.625		|40.0		|0,0021			|8,8954				|0,0187
+508.3125		|294.0		|0,0152			|6,0398				|0,0918
+516.125		|40.0		|0,0021			|8,8954				|0,0187
+523.9375		|270.0		|0,0140			|6,1584				|0,0862
+531.75		|305.0		|0,0158			|5,9839				|0,0945
+539.5625		|339.0		|0,0175			|5,8365				|0,1021
+547.375		|35.0		|0,0018			|9,1178				|0,0164
+555.1875		|85.0		|0,0044			|7,8283				|0,0344
+563.0		|85.0		|0,0044			|7,8283				|0,0344
+570.8125		|25.0		|0,0013			|9,5873				|0,0125
+578.625		|5.0		|0,0003			|11,7027				|0,0035
+594.25		|365.0		|0,0189			|5,7255				|0,1082
+602.0625		|195.0		|0,0101			|6,6295				|0,0670
+609.875		|125.0		|0,0065			|7,2653				|0,0472
+617.6875		|125.0		|0,0065			|7,2653				|0,0472
+625.5		|310.0		|0,0160			|5,9658				|0,0955
+633.3125		|45.0		|0,0023			|8,7642				|0,0202
+641.125		|55.0		|0,0028			|8,4804				|0,0237
+648.9375		|280.0		|0,0145			|6,1078				|0,0886
+656.75		|135.0		|0,0070			|7,1584				|0,0501
+664.5625		|135.0		|0,0070			|7,1584				|0,0501
+672.375		|60.0		|0,0031			|8,3335				|0,0258
+695.8125		|145.0		|0,0075			|7,0589				|0,0529
+758.3125		|1970.0		|0,1019			|3,2948				|0,3357
+766.125		|165.0		|0,0085			|6,8783				|0,0585
+773.9375		|275.0		|0,0142			|6,1380				|0,0872
+78.625		|10.0		|0,0005			|10,9658				|0,0055
+781.75		|300.0		|0,0155			|6,0116				|0,0932
+789.5625		|1440.0		|0,0745			|3,7466				|0,2791
+797.375		|40.0		|0,0021			|8,8954				|0,0187
+805.1875		|115.0		|0,0059			|7,4051				|0,0437
+813.0		|15.0		|0,0008			|10,2877				|0,0082
+820.8125		|775.0		|0,0401			|4,6403				|0,1861
+828.625		|55.0		|0,0028			|8,4804				|0,0237
+844.25		|460.0		|0,0238			|5,3929				|0,1284
+852.0625		|320.0		|0,0166			|5,9127				|0,0982
+859.875		|995.0		|0,0515			|4,2793				|0,2204
+867.6875		|1275.0		|0,0660			|3,9214				|0,2588
+875.5		|135.0		|0,0070			|7,1584				|0,0501
+883.3125		|75.0		|0,0039			|8,0023				|0,0312
+891.125		|775.0		|0,0401			|4,6403				|0,1861
+898.9375		|1035.0		|0,0535			|4,2243				|0,2260
+906.75		|570.0		|0,0295			|5,0831				|0,1500
+914.5625		|470.0		|0,0243			|5,3629				|0,1303
+922.375		|95.0		|0,0049			|7,6730				|0,0376
+938.0		|15.0		|0,0008			|10,2877				|0,0082
+945.8125		|50.0		|0,0026			|8,5873				|0,0223
+953.625		|50.0		|0,0026			|8,5873				|0,0223
-258.3125		|35.0		|0,0018			|9,1178				|0,0164
-570.8125		|5.0		|0,0003			|11,7027				|0,0035
-703.625		|5.0		|0,0003			|11,7027				|0,0035
-758.3125		|90.0		|0,0047			|7,7331				|0,0363
-820.8125		|20.0		|0,0010			|9,9658				|0,0100
-852.0625		|75.0		|0,0039			|8,0023				|0,0312
-883.3125		|90.0		|0,0047			|7,7331				|0,0363
-898.9375		|190.0		|0,0098			|6,6730				|0,0654
-953.625		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 19329
cantidad total probabilidad de simbolos contados = 1.0002
Orden de mayor a menor frecuencia de aparición obtenida: 
+250.5|+758.3125|+789.5625|+867.6875|+898.9375|+859.875|+891.125|+891.125|+906.75|+914.5625|+844.25|+594.25|+539.5625|+852.0625|+625.5|+531.75|+781.75|+508.3125|+648.9375|+773.9375|+523.9375|+344.25|+602.0625|-898.9375|+359.875|+766.125|+695.8125|+656.75|+656.75|+656.75|+617.6875|+617.6875|+805.1875|+922.375|-758.3125|-758.3125|+563.0|+563.0|-852.0625|-852.0625|+672.375|+641.125|+641.125|+945.8125|+945.8125|+633.3125|+453.625|+453.625|+453.625|+547.375|+547.375|+547.375|+570.8125|-820.8125|+938.0|+938.0|+102.0625|+102.0625|+578.625|+578.625|+578.625|+578.625|
