Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
+258.3125		|35.0		|0,0022			|8,8283				|0,0194
+344.25		|225.0		|0,0141			|6,1482				|0,0867
+359.875		|170.0		|0,0107			|6,5462				|0,0700
+453.625		|40.0		|0,0025			|8,6439				|0,0216
+508.3125		|294.0		|0,0185			|5,7563				|0,1065
+516.125		|40.0		|0,0025			|8,6439				|0,0216
+523.9375		|270.0		|0,0170			|5,8783				|0,0999
+531.75		|305.0		|0,0192			|5,7027				|0,1095
+539.5625		|339.0		|0,0213			|5,5530				|0,1183
+547.375		|35.0		|0,0022			|8,8283				|0,0194
+555.1875		|85.0		|0,0053			|7,5598				|0,0401
+563.0		|85.0		|0,0053			|7,5598				|0,0401
+570.8125		|25.0		|0,0016			|9,2877				|0,0149
+578.625		|5.0		|0,0003			|11,7027				|0,0035
+594.25		|365.0		|0,0229			|5,4485				|0,1248
+602.0625		|195.0		|0,0123			|6,3452				|0,0780
+609.875		|125.0		|0,0079			|6,9839				|0,0552
+617.6875		|125.0		|0,0079			|6,9839				|0,0552
+625.5		|310.0		|0,0195			|5,6804				|0,1108
+633.3125		|45.0		|0,0028			|8,4804				|0,0237
+641.125		|55.0		|0,0035			|8,1584				|0,0286
+648.9375		|280.0		|0,0176			|5,8283				|0,1026
+656.75		|135.0		|0,0085			|6,8783				|0,0585
+664.5625		|135.0		|0,0085			|6,8783				|0,0585
+672.375		|60.0		|0,0038			|8,0398				|0,0306
+695.8125		|145.0		|0,0091			|6,7799				|0,0617
+758.3125		|1970.0		|0,1238			|3,0139				|0,3731
+766.125		|165.0		|0,0104			|6,5873				|0,0685
+773.9375		|275.0		|0,0173			|5,8531				|0,1013
+781.75		|300.0		|0,0189			|5,7255				|0,1082
+789.5625		|1440.0		|0,0905			|3,4659				|0,3137
+797.375		|40.0		|0,0025			|8,6439				|0,0216
+805.1875		|115.0		|0,0072			|7,1178				|0,0512
+813.0		|15.0		|0,0009			|10,1178				|0,0091
+820.8125		|775.0		|0,0487			|4,3599				|0,2123
+828.625		|55.0		|0,0035			|8,1584				|0,0286
+844.25		|460.0		|0,0289			|5,1128				|0,1478
+852.0625		|320.0		|0,0201			|5,6367				|0,1133
+859.875		|995.0		|0,0625			|4,0000				|0,2500
+867.6875		|1275.0		|0,0801			|3,6421				|0,2917
+875.5		|135.0		|0,0085			|6,8783				|0,0585
+883.3125		|75.0		|0,0047			|7,7331				|0,0363
+891.125		|775.0		|0,0487			|4,3599				|0,2123
+898.9375		|1035.0		|0,0650			|3,9434				|0,2563
+906.75		|570.0		|0,0358			|4,8039				|0,1720
+914.5625		|470.0		|0,0295			|5,0831				|0,1500
+922.375		|95.0		|0,0060			|7,3808				|0,0443
+938.0		|15.0		|0,0009			|10,1178				|0,0091
+945.8125		|50.0		|0,0031			|8,3335				|0,0258
+953.625		|50.0		|0,0031			|8,3335				|0,0258
-258.3125		|35.0		|0,0022			|8,8283				|0,0194
-570.8125		|5.0		|0,0003			|11,7027				|0,0035
-703.625		|5.0		|0,0003			|11,7027				|0,0035
-758.3125		|90.0		|0,0057			|7,4548				|0,0425
-820.8125		|20.0		|0,0013			|9,5873				|0,0125
-852.0625		|75.0		|0,0047			|7,7331				|0,0363
-883.3125		|90.0		|0,0057			|7,4548				|0,0425
-898.9375		|190.0		|0,0119			|6,3929				|0,0761
-953.625		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 15913
cantidad total probabilidad de simbolos contados = 1.0000
Orden de mayor a menor frecuencia de aparición obtenida: 
+758.3125|+789.5625|+867.6875|+898.9375|+859.875|+891.125|+891.125|+906.75|+914.5625|+844.25|+594.25|+539.5625|+852.0625|+625.5|+531.75|+781.75|+508.3125|+648.9375|+773.9375|+523.9375|+344.25|+602.0625|-898.9375|+359.875|+766.125|+695.8125|+656.75|+656.75|+656.75|+617.6875|+617.6875|+805.1875|+922.375|-758.3125|-758.3125|+563.0|+563.0|-852.0625|-852.0625|+672.375|+641.125|+641.125|+945.8125|+945.8125|+633.3125|+453.625|+453.625|+453.625|+547.375|+547.375|+547.375|+570.8125|-820.8125|+938.0|+938.0|+578.625|+578.625|+578.625|+578.625|
